,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Ordem P/VP,Ordem Dividend Yield,Score,address1,address2,city,state,zip,country,phone,fax,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,maxAge,priceHint,previousClose,regularMarketPreviousClose,dividendRate,dividendYield,exDividendDate,beta,trailingPE,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,ebitda,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio,ticker,lastSplitFactor,lastSplitDate,website,payoutRatio,mostRecentQuarter,earningsQuarterlyGrowth,totalCash,totalCashPerShare,totalDebt,debtToEquity,earningsGrowth,revenueGrowth,trailingAnnualDividendRate,trailingAnnualDividendYield,forwardPE,forwardEps
32,FATN11,Híbrido,75.93,10.04,13.23,0.76,274017000,679606,51,20266.7,2060.63,10.17,4.61,34,36,70,,,,,,Brazil,,,,,,,,,,86400,2,75.59,75.59,10.2,0.111999996,1696550400.0,,7.2452292,8789.0,8127.0,8127.0,75.65,76.38,211168928.0,98.95,,78.2064,88.35265,BRL,,,2781100.0,0.05549,2781100.0,,,,,,10.48,,,-0.17341608,0.19995654,0.8,1738886400.0,SAO,EQUITY,FATN11.SA,FATN11.SA,FII ATHENA ICI,Fundo De Investimento Imobiliario Athena I,1647349200,America/Sao_Paulo,BRT,19ee0a05-2869-3d46-acf9-faf2f1e25982,finmb_651374312,-10800000,75.93,none,,,,,,,,,,,,,,,,FATN11.SA,,,,1.2563,,,,,,,,,,,,
33,JSRE11,Híbrido,51.66,10.49,11.03,0.51,1072840000,1884510,6,9195.77,1113.81,12.11,7.05,3,67,70,,,,,,Brazil,,,REIT - Diversified,reit-diversified,,Financial,financial,,,86400,2,51.28,51.28,5.52,0.076,1696204800.0,0.111602,8.318841,35673.0,38056.0,38056.0,51.66,52.09,1072838720.0,76.0,7.1352286,55.3008,62.1546,BRL,1494624640.0,0.71926004,20767300.0,0.03738,20767300.0,109.589,0.4713977,1672444800.0,1703980800.0,108146000.0,6.21,9.94,,-0.30750668,0.19995654,0.48,1735776000.0,SAO,EQUITY,JSRE11.SA,JSRE11.SA,FII JS REAL CI,JS Real Estate multigestão - FII fund,1407330000,America/Sao_Paulo,BRT,38a252b8-839b-34ff-aeba-add64bfab3c9,finmb_134106875,-10800000,51.66,none,,7.727,7.727,150358000.0,7.24,0.0296,0.04596,150358000.0,69017872.0,156400000.0,1.0,,0.79955,BRL,,JSRE11.SA,10:1,1412121600.0,,,,,,,,,,,,,,
34,NEWL11,Híbrido,90.49,20.07,12.61,0.69,254948000,788879,3,2649.47,487.38,18.4,0.0,17,55,72,,,,,,Brazil,,,,,,,,,,86400,2,89.99,89.99,11.4,0.10560001,1696204800.0,,7.68819,7760.0,2947.0,2947.0,89.15,92.5,235997920.0,123.99,,97.0808,110.3476,BRL,,,2608000.0,0.10321,2608000.0,,,,,,11.77,,,-0.26609892,0.19995654,0.95,1738540800.0,SAO,EQUITY,NEWL11.SA,NEWL11.SA,FII NEWPORT CI,Newport Logastica Fundo De Investimento Imobiliario,1577451600,America/Sao_Paulo,BRT,aff98b58-cb4e-3680-97cf-29a90c030d60,finmb_630791928,-10800000,90.49,none,,,,,,,,,,,,,,,,NEWL11.SA,,,,,,,,,,,,,,,,
35,CVBI11,Títulos e Val. Mob.,75.78,14.4,14.86,0.84,834355000,2041860,0,0.0,0.0,0.0,0.0,58,14,72,,,,,,Brazil,,,,,,,,,,86400,2,75.56,75.56,10.87,0.1189,1696896000.0,,5.2698193,27836.0,22058.0,22058.0,75.69,75.96,834352960.0,97.47,,79.5248,88.39535,BRL,,,11010200.0,0.02859,11010200.0,,,,,,14.38,,,-0.19202471,0.19995654,1.05,1736467200.0,SAO,EQUITY,CVBI11.SA,CVBI11.SA,FII CVBI VBICI,Fundo De Investimento Imobiliario VBI Credito,1569502800,America/Sao_Paulo,BRT,e5a9f9ce-52b6-3fd4-9b84-712bb77a4898,finmb_629618197,-10800000,75.78,none,,,,,,,,,,,,,,,,CVBI11.SA,,,,,,,,,,,,,,,,
36,XPCI11,Títulos e Val. Mob.,71.41,13.57,14.28,0.82,621378000,1645210,0,0.0,0.0,0.0,0.0,53,22,75,,,,,,Brazil,,,,,,,,,,86400,2,71.28,71.28,11.4,0.1295,1696204800.0,,,24213.0,21205.0,21205.0,71.41,72.2,,91.5,,72.578,82.23215,BRL,,,,0.01911,,,,,,,,,,-0.20390189,0.19995654,0.83,1738540800.0,SAO,EQUITY,XPCI11.SA,XPCI11.SA,FII XP CRED CI,Xp Credito Imobiliario ae Fundo De Investimento Imobiliario,1576587600,America/Sao_Paulo,BRT,c5ec5b5e-20a8-32ec-b756-d62fb1c5d304,finmb_633054042,-10800000,71.41,none,,,,,,,,,,,,,,,,XPCI11.SA,,,,,,,,,,,,,,,,
37,FIIP11,Híbrido,136.35,13.06,12.44,0.69,126419000,654186,7,1815.52,264.05,14.54,0.0,18,57,75,,,,,,,,,,,,,,,,86400,2,133.68,133.68,,,,,,3686.0,8326.0,8326.0,130.0,136.37,126418544.0,188.0,,135.6846,163.40225,BRL,,,,,,,,,,,,,,,,,,SAO,EQUITY,FIIP11.SA,FIIP11.SA,FII RB CAP ICI,RB Capital Renda I Fundo de Investimento Imobiliário - FII,1407330000,America/Sao_Paulo,BRT,94c7313c-0320-3150-b6b6-7774349524ca,finmb_106477692,-10800000,136.35,none,,,,,,,,,,,,,,,,FIIP11.SA,,,,,,,,,,,,,,,,
38,KCRE11,Títulos e Val. Mob.,7.76,15.33,14.48,0.84,279360000,638756,0,0.0,0.0,0.0,0.0,56,21,77,,,,,,Brazil,,,,,,,,,,86400,2,7.75,7.75,6.84,0.0727,1696204800.0,,7.2523365,73961.0,72595.0,72595.0,7.71,7.76,279360000.0,10.143,,8.1208,9.136005,BRL,,,36000000.0,,36920700.0,,,,,,1.07,,,-0.21884435,0.19995654,0.11,1738540800.0,SAO,EQUITY,KCRE11.SA,KCRE11.SA,FII KINEA CRCI,Kinea Creditas Fundo De Investimento Imobiliario - FII,1657630800,America/Sao_Paulo,BRT,dcb77e23-8bcd-3322-80db-af1f1f01431e,finmb_1686369150,-10800000,7.76,none,,,,,,,,,,,,,,,,KCRE11.SA,10:1,1718236800.0,,,,,,,,,,,,,,
39,KORE11,Títulos e Val. Mob.,71.6,11.47,11.21,0.68,689150000,2506410,4,11046.9,855.02,7.74,1.72,15,65,80,,,,,,,,,,,,,,,,86400,2,71.75,71.75,,,,,,37265.0,39430.0,39430.0,71.6,72.6,689150016.0,112.98,,77.5194,94.73995,BRL,,,,,,,,,,,,,,,,,,SAO,EQUITY,KORE11.SA,KORE11.SA,FII KORE    CI,Kinea Oportunidades Real Estate Fundo De Investimento Imobiliario,1702040400,America/Sao_Paulo,BRT,3311f15a-a3e1-39c7-b412-8691d627a740,finmb_1857092244,-10800000,71.6,none,,,,,,,,,,,,,,,,KORE11.SA,,,,,,,,,,,,,,,,
40,VILG11,Logística,72.36,10.22,10.13,0.64,1085210000,1849700,15,1895.56,232.49,12.26,6.19,9,72,81,,,,,,Brazil,,,Asset Management,asset-management,Asset Management,Financial,financial,,,86400,2,71.84,71.84,8.4,0.082399994,1696204800.0,,7.3761463,26501.0,19902.0,19902.0,72.3,72.5,1085211904.0,98.48,,71.7144,82.00725,BRL,,,14997400.0,0.024389999,14997400.0,,,,,,9.81,,,-0.20483518,0.19995654,0.65,1738540800.0,SAO,EQUITY,VILG11.SA,VILG11.SA,FII VINCI LGCI,Vinci Logistica Fundo Investimento Imobiliario FII,1553000400,America/Sao_Paulo,BRT,83385f10-41ad-35fa-ad45-380f93782fda,finmb_572052036,-10800000,72.36,none,,,,,,,,,,,,,,,,VILG11.SA,,,,0.96970004,,,,,,,,,,,,
41,RCRB11,Lajes Corporativas,116.99,4.6,9.67,0.58,431774000,574001,9,11113.7,1142.82,10.28,1.77,6,76,82,Avenida Chedid Jafet 222,"Andar 3, Bloco B",Sao Paulo,,,Brazil,,,,,,,,,,86400,2,114.3,114.3,9.36,0.0615,1696464000.0,0.386868,15.89538,5345.0,4107.0,4107.0,114.02,117.06,431774976.0,165.44,6.464181,118.5486,133.48186,BRL,561723776.0,1.02485,3690700.0,0.04334,3690700.0,207.339,0.564245,1672444800.0,1703980800.0,68455000.0,7.36,8.41,,-0.27582794,0.19995654,0.85,1738886400.0,SAO,EQUITY,RCRB11.SA,RCRB11.SA,FII RIOB RC CI,Fundo de Investimento Imobiliário Rio Bravo Renda Corporativa,1573045200,America/Sao_Paulo,BRT,e4d08eb6-98d0-3490-b799-8600a4995ce0,finmb_112326469,-10800000,116.99,none,,2.018,2.018,66795000.0,18.098,0.02656,0.091800004,37607000.0,22204124.0,30411000.0,0.56302,,0.54167,BRL,,RCRB11.SA,,,,,,,,,,,,,6.32,0.055293087,,
